TransactionID,CustomerID,TransactionAmount,TransactionDate,MerchantCategory
1,1,130.22127731190972,2022-01-01,Dining
2,1,132.40378031449166,2022-01-02,Clothing
3,1,160.77769553409678,2022-01-03,Entertainment
4,1,115.02942169625656,2022-01-04,Dining
5,1,174.40299038461376,2022-01-05,Dining
6,1,74.89572234879178,2022-01-06,Dining
7,1,177.32245608601158,2022-01-07,Grocery
8,1,81.24964054779524,2022-01-08,Dining
9,1,109.93849660583817,2022-01-09,Electronics
10,1,136.1213304544702,2022-01-10,Entertainment
11,2,108.34395020059942,2022-01-11,Grocery
12,2,201.15273734625316,2022-01-12,Entertainment
13,2,95.25336939478983,2022-01-13,Electronics
14,2,119.54627195395565,2022-01-14,Electronics
15,2,101.76883472721826,2022-01-15,Dining
16,2,161.33656368137719,2022-01-16,Entertainment
17,2,75.88110904080168,2022-01-17,Electronics
18,2,208.48690714791923,2022-01-18,Electronics
19,3,67.4140401835661,2022-01-19,Grocery
20,3,184.9175332610274,2022-01-20,Grocery
21,3,56.367602557188896,2022-01-21,Entertainment
22,3,121.26070754662102,2022-01-22,Dining
23,3,91.53395837173235,2022-01-23,Entertainment
24,3,134.87068948585036,2022-01-24,Clothing
25,3,111.14728185444426,2022-01-25,Dining
26,3,131.63647700248754,2022-01-26,Dining
27,3,55.428280541257394,2022-01-27,Electronics
28,3,40.72824615465122,2022-01-28,Grocery
29,4,51.134694612259764,2022-01-29,Electronics
30,4,50.51204420005631,2022-01-30,Clothing
31,4,55.1061213099876,2022-01-31,Grocery
32,4,69.5426175455776,2022-02-01,Grocery
33,4,69.25563340588022,2022-02-02,Electronics
34,4,92.51559120637852,2022-02-03,Clothing
35,4,61.69328001835454,2022-02-04,Electronics
36,4,64.02631159113876,2022-02-05,Clothing
37,4,83.4937537638404,2022-02-06,Dining
38,4,143.08172151335185,2022-02-07,Clothing
39,4,75.28236750196018,2022-02-08,Grocery
40,5,89.75842597326702,2022-02-09,Clothing
41,5,96.41237012454887,2022-02-10,Grocery
42,6,58.17087952350367,2022-02-11,Clothing
43,6,78.6812398642421,2022-02-12,Dining
44,6,66.42268789337874,2022-02-13,Electronics
45,6,137.06715378835264,2022-02-14,Dining
46,6,132.08028437123704,2022-02-15,Electronics
47,6,63.292965100505796,2022-02-16,Entertainment
48,6,88.98152634698704,2022-02-17,Clothing
49,6,119.58816402166116,2022-02-18,Electronics
50,6,105.74817947258046,2022-02-19,Clothing
51,6,110.83234978421586,2022-02-20,Grocery
52,7,58.34036402634582,2022-02-21,Grocery
53,7,181.88211743251583,2022-02-22,Electronics
54,7,68.9131805075129,2022-02-23,Dining
55,7,68.00329398619766,2022-02-24,Grocery
56,7,48.14704320481099,2022-02-25,Grocery
57,7,85.15914996645593,2022-02-26,Electronics
58,7,149.8054572319695,2022-02-27,Electronics
59,7,105.27206120647665,2022-02-28,Dining
60,7,88.20135276093801,2022-03-01,Entertainment
61,7,127.82206880361986,2022-03-02,Grocery
62,7,148.15109697644846,2022-03-03,Electronics
63,7,131.94985000402036,2022-03-04,Electronics
64,7,34.88172065018377,2022-03-05,Electronics
65,7,128.3090600735187,2022-03-06,Clothing
66,7,112.78796240748522,2022-03-07,Entertainment
67,7,62.6367997107058,2022-03-08,Entertainment
68,7,112.99694267274825,2022-03-09,Grocery
69,7,149.93964306529688,2022-03-10,Electronics
70,7,70.32410894809225,2022-03-11,Grocery
71,7,136.1146219142436,2022-03-12,Electronics
72,7,106.30832189185213,2022-03-13,Electronics
73,7,17.868121714590018,2022-03-14,Clothing
74,8,91.15369917425299,2022-03-15,Dining
75,8,104.42162246170219,2022-03-16,Grocery
76,8,80.11923618726684,2022-03-17,Clothing
77,8,108.08380797276155,2022-03-18,Grocery
78,8,86.75168819904472,2022-03-19,Grocery
79,8,227.56082556752898,2022-03-20,Clothing
80,8,77.54066523531067,2022-03-21,Dining
81,8,63.488572792657365,2022-03-22,Clothing
82,9,133.06377129840587,2022-03-23,Clothing
83,9,82.1205191833112,2022-03-24,Entertainment
84,9,88.87883954825918,2022-03-25,Grocery
85,9,85.44418982371637,2022-03-26,Clothing
86,9,129.80452930109172,2022-03-27,Entertainment
87,9,54.901063455215734,2022-03-28,Entertainment
88,9,135.9932804854029,2022-03-29,Entertainment
89,9,116.9095844670437,2022-03-30,Electronics
90,9,193.64219420171804,2022-03-31,Dining
91,9,100.79090796023121,2022-04-01,Clothing
92,10,56.85545159168686,2022-04-02,Entertainment
93,10,101.29042787038048,2022-04-03,Dining
94,10,106.9572793032175,2022-04-04,Grocery
95,10,155.71632004865614,2022-04-05,Dining
96,10,56.786678067907715,2022-04-06,Electronics
97,10,42.416892636454634,2022-04-07,Entertainment
98,10,102.24397448364624,2022-04-08,Clothing
99,10,197.43839540558585,2022-04-09,Clothing
100,10,124.53398755517048,2022-04-10,Entertainment
101,10,127.75867766261398,2022-04-11,Dining
102,10,47.51525418245323,2022-04-12,Entertainment
103,11,94.70377942488986,2022-04-13,Entertainment
104,11,157.03387289359173,2022-04-14,Dining
105,11,107.52798333632259,2022-04-15,Clothing
106,11,40.9377077805194,2022-04-16,Electronics
107,11,93.84889444657429,2022-04-17,Dining
108,11,120.66432389377138,2022-04-18,Electronics
109,12,13.1265383318026,2022-04-19,Clothing
110,12,89.2378439305214,2022-04-20,Entertainment
111,12,60.218817264219304,2022-04-21,Grocery
112,12,134.87335220113783,2022-04-22,Grocery
113,12,76.10813390757517,2022-04-23,Grocery
114,12,112.12777287753804,2022-04-24,Clothing
115,12,92.715402305289,2022-04-25,Entertainment
116,12,74.76421375394926,2022-04-26,Dining
117,12,207.45415865044504,2022-04-27,Clothing
118,12,70.86502163863301,2022-04-28,Grocery
119,13,96.26608165573869,2022-04-29,Electronics
120,13,92.58212735152652,2022-04-30,Dining
121,13,101.09196885467448,2022-05-01,Clothing
122,13,200.46273665045618,2022-05-02,Grocery
123,13,120.73370065534704,2022-05-03,Grocery
124,13,74.42690958686855,2022-05-04,Electronics
125,14,172.32184789585517,2022-05-05,Dining
126,14,130.0667525955414,2022-05-06,Dining
127,14,75.11192431669598,2022-05-07,Clothing
128,14,160.51577696784284,2022-05-08,Grocery
129,14,47.249071440672175,2022-05-09,Clothing
130,14,53.79126260877352,2022-05-10,Electronics
131,15,39.5137838489286,2022-05-11,Entertainment
132,15,30.544051670563626,2022-05-12,Clothing
133,15,155.3972976749975,2022-05-13,Dining
134,15,101.66941580600907,2022-05-14,Electronics
135,15,41.45443703198799,2022-05-15,Entertainment
136,15,91.478875038985,2022-05-16,Clothing
137,16,138.0004572468872,2022-05-17,Electronics
138,16,64.95625748986828,2022-05-18,Electronics
139,16,80.12677802017362,2022-05-19,Dining
140,16,211.91204809654477,2022-05-20,Entertainment
141,16,83.55685904229696,2022-05-21,Dining
142,17,43.24505720667342,2022-05-22,Grocery
143,17,72.29136401804587,2022-05-23,Grocery
144,17,39.96674792073645,2022-05-24,Dining
145,17,125.18125123601921,2022-05-25,Electronics
146,17,60.55313892323874,2022-05-26,Grocery
147,17,59.616853218044895,2022-05-27,Dining
148,17,220.71429169582325,2022-05-28,Clothing
149,17,50.853544491257125,2022-05-29,Clothing
150,17,46.26439732138876,2022-05-30,Clothing
151,17,55.19095930760943,2022-05-31,Grocery
152,17,139.94981806215787,2022-06-01,Grocery
153,17,117.80186009727734,2022-06-02,Electronics
154,17,71.84496599978546,2022-06-03,Grocery
155,17,68.73365792131634,2022-06-04,Dining
156,17,113.73033895196299,2022-06-05,Electronics
157,18,103.44487135899898,2022-06-06,Entertainment
158,18,86.10334704221003,2022-06-07,Electronics
159,18,119.64686331577987,2022-06-08,Electronics
160,18,53.354551356503414,2022-06-09,Clothing
161,18,61.057666856701395,2022-06-10,Clothing
162,19,122.48719550190317,2022-06-11,Clothing
163,19,107.29120071295954,2022-06-12,Dining
164,19,29.179407454880515,2022-06-13,Entertainment
165,19,94.45116617480215,2022-06-14,Dining
166,19,217.1122591051228,2022-06-15,Electronics
167,19,131.52655606092017,2022-06-16,Entertainment
168,19,72.87755955310598,2022-06-17,Entertainment
169,19,63.68042678202749,2022-06-18,Clothing
170,19,109.61837380264487,2022-06-19,Grocery
171,19,155.17868184977425,2022-06-20,Clothing
